Unnamed: 0,id,uri,nome,siglaPartido,uriPartido,siglaUf,idLegislatura,urlFoto,x,y,z,cores,first_name,gender
401,204504,https://dadosabertos.camara.leg.br/api/v2/deputados/204504,Cezinha de Madureira,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,SP,56,https://www.camara.leg.br/internet/deputado/bandep/204504.jpg,-0.0775325745344162,0.0837440565228462,-0.2158211767673492,#BDB76B,Cezinha,Feminino
402,204490,https://dadosabertos.camara.leg.br/api/v2/deputados/204490,Charlles Evangelista,PSL,https://dadosabertos.camara.leg.br/api/v2/partidos/36837,MG,56,https://www.camara.leg.br/internet/deputado/bandep/204490.jpg,0.1206946596503257,0.0584358349442482,-0.0606798790395259,#7ADAC5,Charlles,Masculino
403,141408,https://dadosabertos.camara.leg.br/api/v2/deputados/141408,Cleber Verde,REPUBLICANOS,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,MA,56,https://www.camara.leg.br/internet/deputado/bandep/141408.jpg,-0.1148308366537094,0.03505090624094,-0.1952187567949295,#FF7F00,Cleber,Masculino
404,204439,https://dadosabertos.camara.leg.br/api/v2/deputados/204439,Dr. Leonardo,SOLIDARIEDADE,https://dadosabertos.camara.leg.br/api/v2/partidos/37904,MT,56,https://www.camara.leg.br/internet/deputado/bandep/204439.jpg,0.1581501960754394,-0.0888082608580589,0.0498337969183921,#ADD8E6,Dr.,Masculino
405,141421,https://dadosabertos.camara.leg.br/api/v2/deputados/141421,Eduardo da Fonte,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,PE,56,https://www.camara.leg.br/internet/deputado/bandep/141421.jpg,0.1382513642311096,-0.0301344506442546,-0.2401013374328613,#00BFFF,Eduardo,Masculino
406,178854,https://dadosabertos.camara.leg.br/api/v2/deputados/178854,Elmar Nascimento,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,BA,56,https://www.camara.leg.br/internet/deputado/bandep/178854.jpg,-0.161790668964386,0.1824820786714553,-0.2094015181064605,#5C55FC,Elmar,Masculino
407,161550,https://dadosabertos.camara.leg.br/api/v2/deputados/161550,Emidinho Madeira,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,MG,56,https://www.camara.leg.br/internet/deputado/bandep/161550.jpg,0.1128620207309722,-0.1200523227453231,-0.0198669675737619,#FFD700,Emidinho,Masculino
408,178953,https://dadosabertos.camara.leg.br/api/v2/deputados/178953,Expedito Netto,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,RO,56,https://www.camara.leg.br/internet/deputado/bandep/178953.jpg,-0.0451449751853942,0.0614149272441864,0.2270170003175735,#BDB76B,Expedito,Masculino
409,160666,https://dadosabertos.camara.leg.br/api/v2/deputados/160666,Félix Mendonça Júnior,PDT,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,BA,56,https://www.camara.leg.br/internet/deputado/bandep/160666.jpg,0.0926279425621032,-0.1367978155612945,0.2500244677066803,#2E8B57,Félix,Masculino
410,204392,https://dadosabertos.camara.leg.br/api/v2/deputados/204392,Francisco Jr.,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,GO,56,https://www.camara.leg.br/internet/deputado/bandep/204392.jpg,0.1153912246227264,0.1175653263926506,0.1614454835653305,#BDB76B,Francisco,Masculino
411,178981,https://dadosabertos.camara.leg.br/api/v2/deputados/178981,Herculano Passos,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899,SP,56,https://www.camara.leg.br/internet/deputado/bandep/178981.jpg,-0.0068277437239885,-0.1177420541644096,-0.1789467334747314,#006400,Herculano,Masculino
412,178959,https://dadosabertos.camara.leg.br/api/v2/deputados/178959,Hiran Gonçalves,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,RR,56,https://www.camara.leg.br/internet/deputado/bandep/178959.jpg,-0.1583140939474105,0.0814193040132522,-0.1015478372573852,#00BFFF,Hiran,Masculino
413,74273,https://dadosabertos.camara.leg.br/api/v2/deputados/74273,Jefferson Campos,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,SP,56,https://www.camara.leg.br/internet/deputado/bandep/74273.jpg,-0.03531951084733,0.1434575319290161,0.1860546767711639,#FFD700,Jefferson,Masculino
414,178857,https://dadosabertos.camara.leg.br/api/v2/deputados/178857,Jorge Solla,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,BA,56,https://www.camara.leg.br/internet/deputado/bandep/178857.jpg,0.0009109452366828,-0.3240672349929809,0.0081351837143301,#FF0000,Jorge,Feminino
415,218245,https://dadosabertos.camara.leg.br/api/v2/deputados/218245,Jorielson,PL,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,AP,56,https://www.camara.leg.br/internet/deputado/bandep/218245.jpg,-0.30373215675354,0.2709120512008667,0.158720925450325,#8B0000,Jorielson,Masculino
416,141464,https://dadosabertos.camara.leg.br/api/v2/deputados/141464,José Airton Félix Cirilo,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,CE,56,https://www.camara.leg.br/internet/deputado/bandep/141464.jpg,0.0681367218494415,-0.164754033088684,0.311259776353836,#FF0000,José,Masculino
417,204391,https://dadosabertos.camara.leg.br/api/v2/deputados/204391,José Nelto,PODE,https://dadosabertos.camara.leg.br/api/v2/partidos/36896,GO,56,https://www.camara.leg.br/internet/deputado/bandep/204391.jpg,0.1977972090244293,-0.0577450729906559,-0.1726259887218475,#228B22,José,Masculino
418,215043,https://dadosabertos.camara.leg.br/api/v2/deputados/215043,Josivaldo JP,PODE,https://dadosabertos.camara.leg.br/api/v2/partidos/36896,MA,56,https://www.camara.leg.br/internet/deputado/bandep/215043.jpg,-0.1546583026647567,-0.0615784078836441,-0.0968813672661781,#228B22,Josivaldo,Masculino
419,204420,https://dadosabertos.camara.leg.br/api/v2/deputados/204420,Julian Lemos,PSL,https://dadosabertos.camara.leg.br/api/v2/partidos/36837,PB,56,https://www.camara.leg.br/internet/deputado/bandep/204420.jpg,0.1388560384511947,-0.0590972118079662,-0.1560013443231582,#7ADAC5,Julian,Masculino
420,74317,https://dadosabertos.camara.leg.br/api/v2/deputados/74317,Júlio Cesar,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,PI,56,https://www.camara.leg.br/internet/deputado/bandep/74317.jpg,0.2112676948308944,0.0286453180015087,0.0663690492510795,#BDB76B,Júlio,Masculino
421,151208,https://dadosabertos.camara.leg.br/api/v2/deputados/151208,Laercio Oliveira,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,SE,56,https://www.camara.leg.br/internet/deputado/bandep/151208.jpg,0.1012452915310859,0.0104222735390067,-0.2302133738994598,#00BFFF,Laercio,Masculino
422,178825,https://dadosabertos.camara.leg.br/api/v2/deputados/178825,Leo de Brito,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,AC,56,https://www.camara.leg.br/internet/deputado/bandep/178825.jpg,0.0827250853180885,-0.201897919178009,0.1804486960172653,#FF0000,Leo,Masculino
423,204547,https://dadosabertos.camara.leg.br/api/v2/deputados/204547,Léo Motta,PSL,https://dadosabertos.camara.leg.br/api/v2/partidos/36837,MG,56,https://www.camara.leg.br/internet/deputado/bandep/204547.jpg,0.3043417930603027,-0.0647888630628585,0.0040651089511811,#7ADAC5,Léo,Masculino
424,204523,https://dadosabertos.camara.leg.br/api/v2/deputados/204523,Lucas Gonzalez,NOVO,https://dadosabertos.camara.leg.br/api/v2/partidos/37901,MG,56,https://www.camara.leg.br/internet/deputado/bandep/204523.jpg,-0.1460020542144775,-0.1971085220575332,-0.1638666838407516,#004445,Lucas,Masculino
425,74478,https://dadosabertos.camara.leg.br/api/v2/deputados/74478,Luciano Bivar,PSL,https://dadosabertos.camara.leg.br/api/v2/partidos/36837,PE,56,https://www.camara.leg.br/internet/deputado/bandep/74478.jpg,0.1043580695986747,0.043847881257534,-0.4130617380142212,#7ADAC5,Luciano,Masculino
426,204556,https://dadosabertos.camara.leg.br/api/v2/deputados/204556,Marcelo Ramos,PL,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,AM,56,https://www.camara.leg.br/internet/deputado/bandep/204556.jpg,-0.1902977526187896,-0.1052392199635505,-0.0682265311479568,#8B0000,Marcelo,Masculino
427,150418,https://dadosabertos.camara.leg.br/api/v2/deputados/150418,Márcio Marinho,REPUBLICANOS,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,BA,56,https://www.camara.leg.br/internet/deputado/bandep/150418.jpg,-0.138283222913742,0.2348256260156631,0.1109999865293502,#FF7F00,Márcio,Masculino
428,178843,https://dadosabertos.camara.leg.br/api/v2/deputados/178843,Marx Beltrão,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,AL,56,https://www.camara.leg.br/internet/deputado/bandep/178843.jpg,0.1490097045898437,-0.0770023986697197,-0.0571437068283557,#BDB76B,Marx,Masculino
429,178984,https://dadosabertos.camara.leg.br/api/v2/deputados/178984,Miguel Haddad,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,SP,56,https://www.camara.leg.br/internet/deputado/bandep/178984.jpg,0.3340776860713959,-0.1890536248683929,0.0668669417500495,#0072C6,Miguel,Masculino
