,siglaPartido,Count,Percentage
0,PT,54,9.75
1,PSL,54,9.75
2,PL,46,8.3
3,PP,43,7.76
4,PSD,37,6.68
5,MDB,36,6.5
6,REPUBLICANOS,36,6.5
7,PSDB,36,6.5
8,PSB,32,5.78
9,DEM,31,5.6
10,PDT,26,4.69
11,SOLIDARIEDADE,13,2.35
12,PSC,12,2.17
13,PROS,11,1.99
14,PODE,11,1.99
15,PTB,11,1.99
16,PCdoB,9,1.62
17,PSOL,9,1.62
18,CIDADANIA,8,1.44
19,NOVO,8,1.44
20,AVANTE,8,1.44
21,PATRIOTA,6,1.08
22,PV,4,0.72
23,REDE,1,0.18
24,S.PART.,1,0.18
