Unnamed: 0,index,id,uri,nome,siglaPartido,uriPartido,siglaUf,idLegislatura,urlFoto,x,y,z,cores,top_1_deputy,top_2_deputy,top_3_deputy,top_4_deputy,top_5_deputy,top_6_deputy,top_7_deputy,top_8_deputy,top_9_deputy,top_10_deputy,distance,first_name,gender
148,148,74419,https://dadosabertos.camara.leg.br/api/v2/deputados/74419,Gonzaga Patriota,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,PE,56,https://www.camara.gov.br/internet/deputado/bandep/74419.jpg,0.2001863420009613,0.4168877303600311,-0.1983414441347122,#FFD700,,,,,,,,,,,0.5031990458157756,Gonzaga,Feminino
149,149,204513,https://dadosabertos.camara.leg.br/api/v2/deputados/204513,Guiga Peixoto,PSC,https://dadosabertos.camara.leg.br/api/v2/partidos/36833,SP,56,https://www.camara.gov.br/internet/deputado/bandep/204513.jpg,-0.2079461961984634,-0.0607659108936786,-0.1578423082828521,#FF1493,150.0,220.0,138.0,37.0,99.0,217.0,234.0,384.0,77.0,351.0,0.2680453519914256,Guiga,Feminino
150,150,204442,https://dadosabertos.camara.leg.br/api/v2/deputados/204442,Gurgel,PL,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,RJ,56,https://www.camara.gov.br/internet/deputado/bandep/204442.jpg,-0.1330642849206924,-0.2200440764427185,0.1137746125459671,#8B0000,138.0,37.0,99.0,194.0,234.0,122.0,217.0,157.0,220.0,149.0,0.2811941712748845,Gurgel,Masculino
151,151,73460,https://dadosabertos.camara.leg.br/api/v2/deputados/73460,Gustavo Fruet,PDT,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,PR,56,https://www.camara.gov.br/internet/deputado/bandep/73460.jpg,0.4461017847061157,0.1705254465341568,0.0677507072687149,#2E8B57,,,,,,,,,,,0.4823648915178905,Gustavo,Masculino
152,152,204408,https://dadosabertos.camara.leg.br/api/v2/deputados/204408,Gustinho Ribeiro,REPUBLICANOS,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,SE,56,https://www.camara.gov.br/internet/deputado/bandep/204408.jpg,0.0017475250642746,-0.163230299949646,-0.1258913576602935,#FF7F00,423.0,275.0,180.0,138.0,217.0,99.0,201.0,351.0,150.0,194.0,0.2061451396445077,Gustinho,Masculino
153,153,204456,https://dadosabertos.camara.leg.br/api/v2/deputados/204456,Gutemberg Reis,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899,RJ,56,https://www.camara.gov.br/internet/deputado/bandep/204456.jpg,0.2306633591651916,-0.0787307024002075,0.0696353614330291,#006400,194.0,217.0,184.0,351.0,275.0,79.0,210.0,138.0,99.0,180.0,0.2534821341312022,Gutemberg,Masculino
154,154,204548,https://dadosabertos.camara.leg.br/api/v2/deputados/204548,Heitor Freire,UNIÃO,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,CE,56,https://www.camara.gov.br/internet/deputado/bandep/204548.jpg,0.1312743723392486,-0.0512707792222499,-0.3667947649955749,#8B4513,194.0,217.0,2.0,184.0,351.0,138.0,150.0,180.0,99.0,88.0,0.3929377218635027,Heitor,Masculino
155,155,178873,https://dadosabertos.camara.leg.br/api/v2/deputados/178873,Helder Salomão,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,ES,56,https://www.camara.gov.br/internet/deputado/bandep/178873.jpg,0.0047126202844083,0.4933435916900635,-0.0376049093902111,#FF0000,54.0,114.0,260.0,34.0,267.0,204.0,27.0,40.0,281.0,15.0,0.4947971680010335,Helder,Masculino
156,156,178909,https://dadosabertos.camara.leg.br/api/v2/deputados/178909,Hélio Leite,UNIÃO,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,PA,56,https://www.camara.gov.br/internet/deputado/bandep/178909.jpg,-0.4010132551193237,-0.1044765561819076,0.1556814312934875,#8B4513,,,,,,,,,,,0.442677862132969,Hélio,Masculino
157,157,204444,https://dadosabertos.camara.leg.br/api/v2/deputados/204444,Helio Lopes,PL,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,RJ,56,https://www.camara.gov.br/internet/deputado/bandep/204444.jpg,-0.2432166635990142,-0.0593204572796821,0.0476117767393589,#8B0000,138.0,99.0,150.0,234.0,118.0,217.0,176.0,220.0,37.0,351.0,0.2548335601689565,Helio,Masculino
