,siglaPartido,Count,Percentage
0,PL,81,14.62
1,PP,60,10.83
2,UNIÃO,58,10.47
3,PT,56,10.11
4,PSD,53,9.57
5,REPUBLICANOS,48,8.66
6,MDB,40,7.22
7,PSDB,26,4.69
8,PSB,25,4.51
9,PDT,19,3.43
10,PSC,12,2.17
11,PODE,10,1.81
12,PCdoB,8,1.44
13,PSOL,8,1.44
14,NOVO,8,1.44
15,SOLIDARIEDADE,8,1.44
16,CIDADANIA,7,1.26
17,PATRIOTA,6,1.08
18,AVANTE,6,1.08
19,PROS,5,0.9
20,PV,4,0.72
21,PTB,3,0.54
22,REDE,2,0.36
23,S.PART.,1,0.18
