,Unnamed: 0,id,uri,nome,siglaPartido,uriPartido,siglaUf,idLegislatura,urlFoto,x,y,z,cores
520,520,204380,https://dadosabertos.camara.leg.br/api/v2/deputados/204380,Celina Leão,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,DF,56,http://www.camara.gov.br/internet/deputado/bandep/204380.jpg,-0.2508374154567718,-0.0338352769613266,0.3093894422054291,#008000
521,521,160588,https://dadosabertos.camara.leg.br/api/v2/deputados/160588,Diego Andrade,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,MG,56,http://www.camara.gov.br/internet/deputado/bandep/160588.jpg,-0.2696911990642547,0.1566386520862579,0.0932825952768325,#660000
524,524,178969,https://dadosabertos.camara.leg.br/api/v2/deputados/178969,Fábio Mitidieri,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,SE,56,http://www.camara.gov.br/internet/deputado/bandep/178969.jpg,-0.0387973077595233,0.2128227800130844,-0.1964799761772155,#660000
526,526,204391,https://dadosabertos.camara.leg.br/api/v2/deputados/204391,José Nelto,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,GO,56,http://www.camara.gov.br/internet/deputado/bandep/204391.jpg,0.3277934193611145,0.0779828056693077,0.2492919266223907,#008000
527,527,160619,https://dadosabertos.camara.leg.br/api/v2/deputados/160619,José Nunes,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,BA,56,http://www.camara.gov.br/internet/deputado/bandep/160619.jpg,-0.1523957103490829,0.0356503725051879,-0.4343533813953399,#660000
528,528,160541,https://dadosabertos.camara.leg.br/api/v2/deputados/160541,Arthur Lira,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,AL,56,http://www.camara.gov.br/internet/deputado/bandep/160541.jpg,0.001783296931535,0.1621120870113372,0.3014560043811798,#008000
529,529,207176,https://dadosabertos.camara.leg.br/api/v2/deputados/207176,Bia Cavassa,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,MS,56,http://www.camara.gov.br/internet/deputado/bandep/207176.jpg,0.0931852161884307,0.0187388602644205,-0.5355369448661804,#1f77b4
530,530,160589,https://dadosabertos.camara.leg.br/api/v2/deputados/160589,Bruna Furlan,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,SP,56,http://www.camara.gov.br/internet/deputado/bandep/160589.jpg,0.0334407910704612,0.2224679440259933,-0.514468252658844,#1f77b4
533,533,74200,https://dadosabertos.camara.leg.br/api/v2/deputados/74200,Gastão Vieira,PROS,https://dadosabertos.camara.leg.br/api/v2/partidos/36763,MA,56,http://www.camara.gov.br/internet/deputado/bandep/74200.jpg,0.0248098205775022,-0.25431689620018,-0.558164656162262,#ffa500
535,535,67138,https://dadosabertos.camara.leg.br/api/v2/deputados/67138,Iracema Portella,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,PI,56,http://www.camara.gov.br/internet/deputado/bandep/67138.jpg,-0.1530442386865615,-0.231101244688034,-0.4885750114917755,#008000
536,536,74253,https://dadosabertos.camara.leg.br/api/v2/deputados/74253,Julio Lopes,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,RJ,56,http://www.camara.gov.br/internet/deputado/bandep/74253.jpg,0.2853599786758423,-0.2515008449554443,-0.5042364597320557,#008000
538,538,122195,https://dadosabertos.camara.leg.br/api/v2/deputados/122195,Leonardo Gadelha,PSC,https://dadosabertos.camara.leg.br/api/v2/partidos/36833,PB,56,http://www.camara.gov.br/internet/deputado/bandep/122195.jpg,-0.4471537470817566,0.0353628695011138,-0.0734364613890647,#8c564b
542,542,178984,https://dadosabertos.camara.leg.br/api/v2/deputados/178984,Miguel Haddad,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,SP,56,http://www.camara.gov.br/internet/deputado/bandep/178984.jpg,0.1841790676116943,-0.1195991411805152,-0.6924269795417786,#1f77b4
543,543,218741,https://dadosabertos.camara.leg.br/api/v2/deputados/218741,Patrick Dorneles,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,PB,56,http://www.camara.gov.br/internet/deputado/bandep/218741.jpg,-0.0804908201098442,-0.1365374773740768,-0.5973445177078247,#660000
544,544,216544,https://dadosabertos.camara.leg.br/api/v2/deputados/216544,Paulo Vicente Caleffi,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,RS,56,http://www.camara.gov.br/internet/deputado/bandep/216544.jpg,-0.1657532155513763,-0.3195834457874298,-0.5414382815361023,#660000
545,545,217330,https://dadosabertos.camara.leg.br/api/v2/deputados/217330,Pedro Dalua,PSC,https://dadosabertos.camara.leg.br/api/v2/partidos/36833,AP,56,http://www.camara.gov.br/internet/deputado/bandep/217330.jpg,0.0984165295958519,-0.3748742640018463,-0.5596018433570862,#8c564b
546,546,205865,https://dadosabertos.camara.leg.br/api/v2/deputados/205865,Reinhold Stephanes Junior,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,PR,56,http://www.camara.gov.br/internet/deputado/bandep/205865.jpg,0.077255442738533,-0.4916792213916778,-0.4491384327411651,#660000
548,548,178935,https://dadosabertos.camara.leg.br/api/v2/deputados/178935,Rossoni,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,PR,56,http://www.camara.gov.br/internet/deputado/bandep/178935.jpg,0.3142676651477813,-0.3263261020183563,-0.3604008555412292,#1f77b4
549,549,206231,https://dadosabertos.camara.leg.br/api/v2/deputados/206231,Ted Conti,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,ES,56,http://www.camara.gov.br/internet/deputado/bandep/206231.jpg,-0.0643232315778732,0.5510092973709106,-0.4902456700801849,#90ee90
553,553,141515,https://dadosabertos.camara.leg.br/api/v2/deputados/141515,Otavio Leite,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,RJ,56,http://www.camara.gov.br/internet/deputado/bandep/141515.jpg,0.002989606000483,-0.2087374925613403,-0.6660584211349487,#1f77b4
